location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"200 E Ohio St IL 60611",41.892807,-87.622451,1,rooftop,200,"E Ohio St",,,Chicago,IL,"Cook County",60611,US,"City of Chicago"
"1713 W Polk St IL 60612",41.871258,-87.669597,1,rooftop,1713,"W Polk St",,,Chicago,IL,"Cook County",60612,US,"City of Chicago"
"1755 W Addison St IL 60613",41.946742,-87.673359,1,rooftop,1755,"W Addison St",,,Chicago,IL,"Cook County",60613,US,"City of Chicago"
"1441 W Montrose Ave IL 60613",41.961289,-87.666573,1,rooftop,1441,"W Montrose Ave",,,Chicago,IL,"Cook County",60613,US,Cook
"801 W Diversey Pkwy IL 60614",41.932452,-87.649473,1,rooftop,801,"W Diversey Pkwy",,,Chicago,IL,"Cook County",60614,US,"City of Chicago"
"1927 W Fullerton Ave IL 60614",41.922628,-87.669017,1,rooftop,1927,"W Fullerton Ave",,,Chicago,IL,"Cook County",60614,US,"City of Chicago"
"1982 N Clybourn Ave IL 60614",41.917279,-87.658695,1,rooftop,1982,"N Clybourn Ave",,,Chicago,IL,"Cook County",60614,US,"City of Chicago"
"1411 E 53rd St IL 60615",41.799186,-87.591225,1,rooftop,1411,"E 53rd St",,,Chicago,IL,"Cook County",60615,US,"City of Chicago"
"749 W 31st St IL 60616",41.837727,-87.645923,1,rooftop,749,"W 31st St",,,Chicago,IL,"Cook County",60616,US,"City of Chicago"
"2477 S Archer Ave IL 60616",41.84709,-87.646086,1,rooftop,2477,"S Archer Ave",,,Chicago,IL,"Cook County",60616,US,"City of Chicago"
"8753 S Stony Island Ave IL 60617",41.735282,-87.584897,1,rooftop,8753,"S Stony Island Ave",,,Chicago,IL,"Cook County",60617,US,Cook
"3101 W Irving Park Rd IL 60618",41.953633,-87.705841,1,rooftop,3101,"W Irving Park Rd",,,Chicago,IL,"Cook County",60618,US,"City of Chicago"
"4010 N Western Ave IL 60618",41.954443,-87.688933,1,rooftop,4010,"N Western Ave",,,Chicago,IL,"Cook County",60618,US,Cook
"3310 W Addison St IL 60618",41.946823,-87.710718,1,rooftop,3310,"W Addison St",,,Chicago,IL,"Cook County",60618,US,"City of Chicago"
"3801 W Belmont Ave IL 60618",41.938941,-87.7222,1,rooftop,3801,"W Belmont Ave",,,Chicago,IL,"Cook County",60618,US,"City of Chicago"
"3214 N Kimball Ave IL 60618",41.939794,-87.712901,1,rooftop,3214,"N Kimball Ave",,,Chicago,IL,"Cook County",60618,US,"City of Chicago"
"3535 N Western Ave IL 60618",41.945929,-87.687742,1,rooftop,3535,"N Western Ave",,,Chicago,IL,"Cook County",60618,US,Cook
"814 E 87th St IL 60619",41.736929,-87.603971,1,rooftop,814,"E 87th St",,,Chicago,IL,"Cook County",60619,US,"City of Chicago"
"8255 S Halsted St IL 60620",41.743666,-87.643479,1,rooftop,8255,"S Halsted St",,,Chicago,IL,"Cook County",60620,US,"City of Chicago"
"7921 South Western Avenue IL 60620",41.749451,-87.682175,1,rooftop,7921,"S Western Ave",,,Chicago,IL,"Cook County",60620,US,"City of Chicago"
"207 W 79th St IL 60620",41.750612,-87.629828,1,rooftop,207,"W 79th St",,,Chicago,IL,"Cook County",60620,US,"City of Chicago"
"120 W 87th St IL 60620",41.735194,-87.627339,1,rooftop,120,"W 87th St",,,Chicago,IL,"Cook County",60620,US,"City of Chicago"
"150 W 63rd St IL 60621",41.780319,-87.629797,1,rooftop,150,"W 63rd St",,,Chicago,IL,"Cook County",60621,US,"City of Chicago"
"6237 South Halsted Street IL 60621",41.78092,-87.644671,1,range_interpolation,6237,"S Halsted St",,,Chicago,IL,"Cook County",60621,US,"TIGER/Line® dataset from the US Census Bureau"
"1535 W Grand Ave IL 60622",41.890689,-87.666673,0.8,rooftop,1535,"W Grand Ave",,,Chicago,IL,"Cook County",60642,US,Cook
"1234 N Halsted St IL 60622",41.904718,-87.648532,0.8,rooftop,1234,"N Halsted St",,,Chicago,IL,"Cook County",60614,US,"City of Chicago"
"1200 N Milwaukee Ave IL 60622",41.903507,-87.666484,1,range_interpolation,1200,"N Milwaukee Ave",,,Chicago,IL,"Cook County",60622,US,"TIGER/Line® dataset from the US Census Bureau"
"1244 N Ashland Ave IL 60622",41.904907,-87.667835,1,rooftop,1244,"N Ashland Ave",,,Chicago,IL,"Cook County",60622,US,"City of Chicago"
"2801 S Kedzie Ave IL 60623",41.840727,-87.704566,1,rooftop,2801,"S Kedzie Ave",,,Chicago,IL,"Cook County",60623,US,"City of Chicago"
"4821 N Kedzie Ave IL 60625",41.969389,-87.708157,1,rooftop,4821,"N Kedzie Ave",,,Chicago,IL,"Cook County",60625,US,"City of Chicago"
"4645 N Western Ave IL 60625",41.966275,-87.688457,1,rooftop,4645,"N Western Ave",,,Chicago,IL,"Cook County",60625,US,"City of Chicago"
"5200 N Lincoln Ave IL 60625",41.976099,-87.692712,1,rooftop,5200,"N Lincoln Ave",,,Chicago,IL,"Cook County",60625,US,"City of Chicago"
"3152 W Lawrence Ave IL 60625",41.968612,-87.707646,1,range_interpolation,3152,"W Lawrence Ave",,,Chicago,IL,"Cook County",60625,US,"TIGER/Line® dataset from the US Census Bureau"
"7547 N Paulina St IL 60626",42.018737,-87.672101,0.88,nearest_rooftop_match,7559,"N Paulina St",,,Chicago,IL,"Cook County",60626,US,"City of Chicago"
"1200 W Loyola Ave IL 60626",42.003161,-87.664107,1,rooftop,1200,"W Loyola Ave",,,Chicago,IL,"Cook County",60626,US,"City of Chicago"
"1357 West Morse Avenue IL 60626",42.007768,-87.665398,1,range_interpolation,1357,"W Morse Ave",,,Chicago,IL,"Cook County",60626,US,"TIGER/Line® dataset from the US Census Bureau"
"1632 W Howard St IL 60626",42.0196,-87.672261,1,rooftop,1632,"W Howard St",,,Chicago,IL,"Cook County",60626,US,"City of Chicago"
"6970 N Clark St IL 60626",42.008516,-87.674305,1,rooftop,6970,"N Clark St",,,Chicago,IL,"Cook County",60626,US,"City of Chicago"
"9802 S Halsted St IL 60628",41.715444,-87.643575,1,rooftop,9802,"S Halsted St",,,Chicago,IL,"Cook County",60628,US,Cook
"14 W 95th St IL 60628",41.721432,-87.624685,0.87,nearest_rooftop_match,30,"W 95th St",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
"250 E 103rd St IL 60628",41.707549,-87.616693,1,rooftop,250,"E 103rd St",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
"6500 S Kedzie Ave IL 60629",41.775064,-87.703401,1,rooftop,6500,"S Kedzie Ave",,,Chicago,IL,"Cook County",60629,US,"City of Chicago"
"5931 S Kedzie Ave IL 60629",41.785328,-87.702964,1,rooftop,5931,"S Kedzie Ave",,,Chicago,IL,"Cook County",60629,US,"City of Chicago"
"3712 W 62nd Pl IL 60629",41.779944,-87.716054,1,rooftop,3712,"W 62nd Pl",,,Chicago,IL,"Cook County",60629,US,"City of Chicago"
"6925 S Pulaski Rd IL 60629",41.766961,-87.72209,1,rooftop,6925,"S Pulaski Rd",,,Chicago,IL,"Cook County",60629,US,"City of Chicago"
"4612 W 59th St IL 60629",41.787774,-87.738044,1,rooftop,4612,"W 59th St",,,Chicago,IL,"Cook County",60629,US,"City of Chicago"
"5949 W Higgins Ave IL 60630",41.972792,-87.777373,1,range_interpolation,5949,"W Higgins Ave",,,Chicago,IL,"Cook County",60630,US,"TIGER/Line® dataset from the US Census Bureau"
"5205 N Nagle Ave IL 60630",41.975791,-87.78772,1,range_interpolation,5205,"N Nagle Ave",,,Chicago,IL,"Cook County",60630,US,"TIGER/Line® dataset from the US Census Bureau"
"5050 N Cicero Ave IL 60630",41.973435,-87.748231,1,rooftop,5050,"N Cicero Ave",,,Chicago,IL,"Cook County",60630,US,"City of Chicago"
"4045 W Lawrence Ave IL 60630",41.967975,-87.729903,1,rooftop,4045,"W Lawrence Ave",,,Chicago,IL,"Cook County",60630,US,"City of Chicago"
"742 West Higgins Road IL 60631",41.984732,-87.821752,0.85,nearest_rooftop_match,766,"W Higgins Rd",,,Chicago,IL,"Cook County",60631,US,"City of Chicago"
"742 West Higgins Road IL 60631",41.984732,-87.821752,0.85,nearest_rooftop_match,766,"W Higgins Rd",,,Chicago,IL,"Cook County",60631,US,"City of Chicago"
"7240 West Devon Avenue IL 60631",41.997678,-87.808432,1,rooftop,7240,"W Devon Ave",,,Chicago,IL,"Cook County",60631,US,"City of Chicago"
"742 Higgins Road IL 60631",41.986302,-87.834616,0.8,rooftop,742,"Higgins Rd",,,"Park Ridge",IL,"Cook County",60068,US,Cook
"7156 N Harlem Ave IL 60631",42.01155,-87.806997,1,rooftop,7156,"N Harlem Ave",,,Chicago,IL,"Cook County",60631,US,"City of Chicago"
"4113 South Pulaski Road IL 60632",41.818067,-87.723418,1,rooftop,4113,"S Pulaski Rd",,,Chicago,IL,"Cook County",60632,US,"City of Chicago"
"4669 S Cicero Ave IL 60632",41.80816,-87.743113,1,range_interpolation,4669,"S Cicero Ave",,,Chicago,IL,"Cook County",60632,US,"TIGER/Line® dataset from the US Census Bureau"
"3910 S Archer Ave IL 60632",41.822684,-87.690695,1,rooftop,3910,"S Archer Ave",,,Chicago,IL,"Cook County",60632,US,"City of Chicago"
"4453 S Archer Ave IL 60632",41.812103,-87.706899,1,rooftop,4453,"S Archer Ave",,,Chicago,IL,"Cook County",60632,US,"City of Chicago"
"4701 S Kedzie Ave IL 60632",41.807877,-87.703324,1,rooftop,4701,"S Kedzie Ave",,,Chicago,IL,"Cook County",60632,US,"City of Chicago"
"5448 S Pulaski Rd IL 60632",41.793693,-87.72356,1,rooftop,5448,"S Pulaski Rd",,,Chicago,IL,"Cook County",60632,US,"City of Chicago"
"4649 S Cicero Ave IL 60632",41.808159,-87.742799,1,rooftop,4649,"S Cicero Ave",,,Chicago,IL,"Cook County",60632,US,"City of Chicago"
"3359 N Harlem Ave IL 60634",41.941432,-87.806403,1,rooftop,3359,"N Harlem Ave",,,Chicago,IL,"Cook County",60634,US,Cook
"6200 W Belmont Ave IL 60634",41.938651,-87.781428,1,rooftop,6200,"W Belmont Ave",,,Chicago,IL,"Cook County",60634,US,"City of Chicago"
"4354 N Central Ave IL 60634",41.960336,-87.767595,1,rooftop,4354,"N Central Ave",,,Chicago,IL,"Cook County",60634,US,"City of Chicago"
"7171 W Irving Park Rd IL 60634",41.952461,-87.806723,1,rooftop,7171,"W Irving Park Rd",,,Chicago,IL,"Cook County",60634,US,"City of Chicago"
"6408 W Irving Park Rd IL 60634",41.953224,-87.786916,1,rooftop,6408,"W Irving Park Rd",,,Chicago,IL,"Cook County",60634,US,Cook
"6001 W Addison St IL 60634",41.945593,-87.776839,1,rooftop,6001,"W Addison St",,,Chicago,IL,"Cook County",60634,US,"City of Chicago"
"3039 N Central Ave IL 60634",41.936161,-87.766068,1,rooftop,3039,"N Central Ave",,,Chicago,IL,"Cook County",60634,US,"City of Chicago"
"1614 W 59th St IL 60636",41.78746,-87.665502,1,rooftop,1614,"W 59th St",,,Chicago,IL,"Cook County",60636,US,"City of Chicago"
"6100 S Western Ave IL 60636",41.782655,-87.684078,1,rooftop,6100,"S Western Ave",,,Chicago,IL,"Cook County",60636,US,Cook
"7059 S Ashland Ave IL 60636",41.765182,-87.663439,1,rooftop,7059,"S Ashland Ave",,,Chicago,IL,"Cook County",60636,US,"City of Chicago"
"4957 S Central Ave IL 60638",41.802644,-87.762476,1,range_interpolation,4957,"S Central Ave",,,Chicago,IL,"Cook County",60638,US,"TIGER/Line® dataset from the US Census Bureau"
"6738 W Archer Ave IL 60638",41.792464,-87.790658,1,rooftop,6738,"W Archer Ave",,,Chicago,IL,"Cook County",60638,US,"City of Chicago"
"5615 S Harlem Ave IL 60638",41.789666,-87.801043,1,rooftop,5615,"S Harlem Ave",,,Chicago,IL,"Cook County",60638,US,"City of Chicago"
"6641 S Cicero Ave IL 60638",41.771727,-87.741693,1,rooftop,6641,"S Cicero Ave",,,Chicago,IL,"Cook County",60638,US,"City of Chicago"
"4644 W Diversey Ave IL 60639",41.932674,-87.743662,1,rooftop,4644,"W Diversey Ave",,,Chicago,IL,"Cook County",60639,US,Cook
"6336 W North Ave IL 60639",41.909529,-87.784774,1,rooftop,6336,"W North Ave",,,Chicago,IL,"Cook County",60639,US,Cook
"2640 N Narragansett Ave IL 60639",41.928854,-87.785783,1,range_interpolation,2640,"N Narragansett Ave",,,Chicago,IL,"Cook County",60639,US,"TIGER/Line® dataset from the US Census Bureau"
"5959 W Diversey Ave IL 60639",41.930889,-87.775659,1,rooftop,5959,"W Diversey Ave",,,Chicago,IL,"Cook County",60639,US,"City of Chicago"
"5650 W Fullerton Ave IL 60639",41.924323,-87.767761,1,rooftop,5650,"W Fullerton Ave",,,Chicago,IL,"Cook County",60639,US,Cook
"2337 N Cicero Ave IL 60639",41.923593,-87.745905,1,rooftop,2337,"N Cicero Ave",,,Chicago,IL,"Cook County",60639,US,"City of Chicago"
"5707 W North Ave IL 60639",41.909035,-87.768784,1,rooftop,5707,"W North Ave",,,Chicago,IL,"Cook County",60639,US,"City of Chicago"
"1743 W Lawrence Ave IL 60640",41.968644,-87.673049,1,rooftop,1743,"W Lawrence Ave",,,Chicago,IL,"Cook County",60640,US,"City of Chicago"
"4547 N Broadway St IL 60640",41.965048,-87.65687,1,rooftop,4547,"N Broadway St",,,Chicago,IL,"Cook County",60640,US,Cook
"4245 N Milwaukee Ave IL 60641",41.958264,-87.752012,1,rooftop,4245,"N Milwaukee Ave",,,Chicago,IL,"Cook County",60641,US,"City of Chicago"
"5000 W Irving Park Rd IL 60641",41.953671,-87.75254,1,rooftop,5000,"W Irving Park Rd",,,Chicago,IL,"Cook County",60641,US,"City of Chicago"
"9800 South Western Avenue IL 60643",41.715161,-87.682296,0.8,rooftop,9800,"S Western Ave",,,"Evergreen Park",IL,"Cook County",60805,US,Cook
"10401 S Western Ave IL 60643",41.704417,-87.681066,1,rooftop,10401,"S Western Ave",,,Chicago,IL,"Cook County",60643,US,Cook
"4800 W Lake St IL 60644",41.886881,-87.745297,1,rooftop,4800,"W Lake St",,,Chicago,IL,"Cook County",60644,US,"City of Chicago"
"782 N Laramie Ave IL 60644",41.894616,-87.755735,1,range_interpolation,782,"N Laramie Ave",,,Chicago,IL,"Cook County",60644,US,"TIGER/Line® dataset from the US Census Bureau"
"7578 N Western Ave IL 60645",42.019255,-87.690482,1,rooftop,7578,"N Western Ave",,,Chicago,IL,"Cook County",60645,US,Cook
"6342 N Milwaukee Ave IL 60646",41.996308,-87.787254,1,rooftop,6342,"N Milwaukee Ave",,,Chicago,IL,"Cook County",60646,US,"City of Chicago"
"1909 N Western Ave IL 60647",41.91671,-87.687235,1,range_interpolation,1909,"N Western Ave",,,Chicago,IL,"Cook County",60647,US,"TIGER/Line® dataset from the US Census Bureau"
"3427 W Diversey Ave IL 60647",41.931707,-87.713441,1,rooftop,3427,"W Diversey Ave",,,Chicago,IL,"Cook County",60647,US,"City of Chicago"
"3309 W North Ave IL 60647",41.90972,-87.709987,1,rooftop,3309,"W North Ave",,,Chicago,IL,"Cook County",60647,US,Cook
"1746 N Western Ave IL 60647",41.91356,-87.687692,1,rooftop,1746,"N Western Ave",,,Chicago,IL,"Cook County",60647,US,"City of Chicago"
"1345 N Pulaski Rd IL 60651",41.905637,-87.725835,1,rooftop,1345,"N Pulaski Rd",,,Chicago,IL,"Cook County",60651,US,"City of Chicago"
"800 N Kedzie Ave IL 60651",41.896524,-87.707225,1,rooftop,800,"N Kedzie Ave",,,Chicago,IL,"Cook County",60651,US,"City of Chicago"
"4747 West 79th Street IL 60652",41.749026,-87.740298,1,range_interpolation,4747,"W 79th St",,,Chicago,IL,"Cook County",60652,US,"TIGER/Line® dataset from the US Census Bureau"
"7905 S Cicero Ave IL 60652",41.749086,-87.741203,1,range_interpolation,7905,"S Cicero Ave",,,Chicago,IL,"Cook County",60652,US,"TIGER/Line® dataset from the US Census Bureau"
"3977 W Columbus Ave IL 60652",41.735724,-87.720841,1,rooftop,3977,"W Columbus Ave",,,Chicago,IL,"Cook County",60652,US,"City of Chicago"
"7601 S Cicero Ave Ste 76 IL 60652",41.755323,-87.740572,1,rooftop,7601,"S Cicero Ave",Ste,76,Chicago,IL,"Cook County",60652,US,Cook
"4667 W 79th St IL 60652",41.749048,-87.738327,1,range_interpolation,4667,"W 79th St",,,Chicago,IL,"Cook County",60652,US,"TIGER/Line® dataset from the US Census Bureau"
"3214 W 87th St IL 60652",41.735183,-87.711715,1,range_interpolation,3214,"W 87th St",,,Chicago,IL,"Cook County",60652,US,"TIGER/Line® dataset from the US Census Bureau"
"222 W Merchandise Mart Plaza IL 60654",41.888083,-87.636185,1,range_interpolation,222,"W Merchandise Mart Plz",,,Chicago,IL,"Cook County",60654,US,"TIGER/Line® dataset from the US Census Bureau"
"309 West Chicago Avenue IL 60654",41.89626,-87.63615,1,rooftop,309,"W Chicago Ave",,,Chicago,IL,"Cook County",60654,US,"City of Chicago"
"222 Merchandise Mart Plz IL 60654",41.888083,-87.636185,0.9,range_interpolation,222,"W Merchandise Mart Plz",,,Chicago,IL,"Cook County",60654,US,"TIGER/Line® dataset from the US Census Bureau"
"222 Merchandise Mart Plz Ste 203 IL 60654",41.888083,-87.636185,0.9,range_interpolation,222,"W Merchandise Mart Plz",Ste,203,Chicago,IL,"Cook County",60654,US,"TIGER/Line® dataset from the US Census Bureau"
"3206 West 111th Street IL 60655",41.691841,-87.701301,1,rooftop,3206,"W 111th St",,,Chicago,IL,"Cook County",60655,US,Cook
"5550 N Harlem Ave IL 60656",41.982436,-87.807708,1,rooftop,5550,"N Harlem Ave",,,Chicago,IL,"Cook County",60656,US,"City of Chicago"
"3200 N Clark St IL 60657",41.94031,-87.651428,1,rooftop,3200,"N Clark St",,,Chicago,IL,"Cook County",60657,US,"City of Chicago"
"3000 N Ashland Ave IL 60657",41.936365,-87.668877,1,rooftop,3000,"N Ashland Ave",,,Chicago,IL,"Cook County",60657,US,"City of Chicago"
"3132 W Devon Ave IL 60659",41.997675,-87.708534,1,rooftop,3132,"W Devon Ave",,,Chicago,IL,"Cook County",60659,US,"City of Chicago"
"6254 N Western Ave IL 60659",41.99573,-87.690212,1,rooftop,6254,"N Western Ave",,,Chicago,IL,"Cook County",60659,US,"City of Chicago"
"5723 N California Ave IL 60659",41.985697,-87.698898,1,rooftop,5723,"N California Ave",,,Chicago,IL,"Cook County",60659,US,"City of Chicago"
"6250 N Clark St IL 60660",41.995826,-87.670598,1,rooftop,6250,"N Clark St",,,Chicago,IL,"Cook County",60660,US,"City of Chicago"
"6326 N Broadway St IL 60660",41.996849,-87.660631,1,range_interpolation,6326,"N Broadway St",,,Chicago,IL,"Cook County",60660,US,"TIGER/Line® dataset from the US Census Bureau"
"1954 W Peterson Ave IL 60660",41.991024,-87.679259,1,rooftop,1954,"W Peterson Ave",,,Chicago,IL,"Cook County",60660,US,Cook
"1127 W Bryn Mawr Ave IL 60660",41.98333,-87.659087,1,rooftop,1127,"W Bryn Mawr Ave",,,Chicago,IL,"Cook County",60660,US,Cook
"555 W Lake St IL 60661",41.885494,-87.64197,1,rooftop,555,"W Lake St",,,Chicago,IL,"Cook County",60661,US,"City of Chicago"
"117 S Clinton St IL 60661",41.879996,-87.640857,1,rooftop,117,"S Clinton St",,,Chicago,IL,"Cook County",60661,US,Cook
"500 W Madison St IL 60661",41.88239,-87.640472,1,rooftop,500,"W Madison St",,,Chicago,IL,"Cook County",60661,US,Cook
"547 W Jackson Blvd IL 60661",41.877723,-87.641777,1,rooftop,547,"W Jackson Blvd",,,Chicago,IL,"Cook County",60661,US,"City of Chicago"
"5600 Mannheim Rd IL 60666",41.916448,-87.883964,0.5,street_center,,"Mannheim Rd",,,"Melrose Park",IL,"Cook County",60164,US,"TIGER/Line® dataset from the US Census Bureau"
"10000 Bessie Coleman Dr IL 60666",41.850033,-87.650052,0.16,place,,,,,"Amf Ohare",IL,"Cook County",60666,US,"TIGER/Line® dataset from the US Census Bureau"
"[100-119] W North Ave IL 60707",41.909066,-87.802699,0.6,street_center,,"W North Ave",,,"Elmwood Park",IL,"Cook County",60707,US,"TIGER/Line® dataset from the US Census Bureau"
"S Cicero Ave IL 60804",41.817942,-87.743665,1,street_center,,"S Cicero Ave",,,Cicero,IL,"Cook County",60804,US,"TIGER/Line® dataset from the US Census Bureau"
"27 E Lake St IL 60601",41.885601,-87.627013,1,range_interpolation,27,"E Lake St",,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"203 N La Salle St IL 60601",41.88606,-87.631681,1,rooftop,203,"N La Salle St",,,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"201 N Clark St IL 60601",41.886061,-87.63069,1,rooftop,201,"N Clark St",,,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"201 N State St IL 60601",41.885598,-87.627939,1,range_interpolation,201,"N State St",,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"100 W Randolph St IL 60601",41.884843,-87.631981,1,rooftop,100,"W Randolph St",,,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"300 E Randolph St IL 60601",41.884839,-87.619893,1,rooftop,300,"E Randolph St",,,Chicago,IL,"Cook County",60601,US,Cook
"303 E Wacker Dr IL 60601",41.88687,-87.61479,1,rooftop,303,"E Wacker Dr",,,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"233 N Michigan Ave IL 60601",41.887121,-87.623273,1,rooftop,233,"N Michigan Ave",,,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"75 E Washington St IL 60602",41.883073,-87.625214,1,range_interpolation,75,"E Washington St",,,Chicago,IL,"Cook County",60602,US,"TIGER/Line® dataset from the US Census Bureau"
"166 W Washington St IL 60602",41.883464,-87.633055,1,rooftop,166,"W Washington St",,,Chicago,IL,"Cook County",60602,US,"City of Chicago"
"6 N Wabash Ave IL 60602",41.882239,-87.626367,1,range_interpolation,6,"N Wabash Ave",,,Chicago,IL,"Cook County",60602,US,"TIGER/Line® dataset from the US Census Bureau"
"31 E Adams St IL 60603",41.879347,-87.627144,1,range_interpolation,31,"E Adams St",,,Chicago,IL,"Cook County",60603,US,"TIGER/Line® dataset from the US Census Bureau"
"333 S State St IL 60604",41.877495,-87.627218,1,rooftop,333,"S State St",,,Chicago,IL,"Cook County",60604,US,"City of Chicago"
"230 S State St IL 60604",41.878735,-87.627842,1,range_interpolation,230,"S State St",,,Chicago,IL,"Cook County",60604,US,"TIGER/Line® dataset from the US Census Bureau"
"62 E Jackson Blvd IL 60604",41.878405,-87.625672,1,range_interpolation,62,"E Jackson Blvd",,,Chicago,IL,"Cook County",60604,US,"TIGER/Line® dataset from the US Census Bureau"
"77 W Jackson Blvd IL 60604",41.8776,-87.630419,1,rooftop,77,"W Jackson Blvd",,,Chicago,IL,"Cook County",60604,US,"City of Chicago"
"1575 S Michigan Ave IL 60605",41.860838,-87.623854,1,range_interpolation,1575,"S Michigan Ave",,,Chicago,IL,"Cook County",60605,US,"TIGER/Line® dataset from the US Census Bureau"
"406 S Michigan Ave IL 60605",41.876756,-87.624851,1,rooftop,406,"S Michigan Ave",,,Chicago,IL,"Cook County",60605,US,Cook
"600 S Wabash Ave IL 60605",41.874265,-87.626369,1,rooftop,600,"S Wabash Ave",,,Chicago,IL,"Cook County",60605,US,"City of Chicago"
"439 S Dearborn St IL 60605",41.875931,-87.628972,1,rooftop,439,"S Dearborn St",,,Chicago,IL,"Cook County",60605,US,Cook
"171 W Van Buren St IL 60605",41.876665,-87.633226,1,rooftop,171,"W Van Buren St",,,Chicago,IL,"Cook County",60605,US,"City of Chicago"
"1231 S Wabash Ave IL 60605",41.8669,-87.625307,1,rooftop,1231,"S Wabash Ave",,,Chicago,IL,"Cook County",60605,US,"City of Chicago"
"205 W Randolph St IL 60606",41.884231,-87.634156,1,rooftop,205,"W Randolph St",,,Chicago,IL,"Cook County",60606,US,"City of Chicago"
"220 W Washington St IL 60606",41.88337,-87.634877,1,rooftop,220,"W Washington St",,,Chicago,IL,"Cook County",60606,US,"City of Chicago"
"215 W Lake St IL 60606",41.885378,-87.634625,1,rooftop,215,"W Lake St",,,Chicago,IL,"Cook County",60606,US,"City of Chicago"
"2 N Riverside Plz IL 60606",41.882379,-87.639487,1,rooftop,2,"N Riverside Plz",,,Chicago,IL,"Cook County",60606,US,"City of Chicago"
"201 W Madison St IL 60606",41.8816,-87.634113,1,rooftop,201,"W Madison St",,,Chicago,IL,"Cook County",60606,US,Cook
"229 W Jackson Blvd IL 60606",41.877894,-87.634818,1,rooftop,229,"W Jackson Blvd",,,Chicago,IL,"Cook County",60606,US,Cook
"1121 S Jefferson St IL 60607",41.868512,-87.641645,1,rooftop,1121,"S Jefferson St",,,Chicago,IL,"Cook County",60607,US,Cook
"1015 West Lake Street IL 60607",41.885337,-87.652769,1,rooftop,1015,"W Lake St",,,Chicago,IL,"Cook County",60607,US,"City of Chicago"
"901 W Washington Blvd IL 60607",41.882856,-87.650318,1,rooftop,901,"W Washington Blvd",,,Chicago,IL,"Cook County",60607,US,"City of Chicago"
"500 W Roosevelt Rd IL 60607",41.867711,-87.63959,1,rooftop,500,"W Roosevelt Rd",,,Chicago,IL,"Cook County",60607,US,Cook
"1710 W 18th St IL 60608",41.85802,-87.669213,1,rooftop,1710,"W 18th St",,,Chicago,IL,"Cook County",60608,US,"City of Chicago"
"2356 W Cermak Rd IL 60608",41.852337,-87.685251,1,rooftop,2356,"W Cermak Rd",,,Chicago,IL,"Cook County",60608,US,Cook
"2401 W Ogden Ave IL 60608",41.864264,-87.686243,1,rooftop,2401,"W Ogden Ave",,,Chicago,IL,"Cook County",60608,US,"City of Chicago"
"1651 W Roosevelt Rd IL 60608",41.866702,-87.66751,1,range_interpolation,1651,"W Roosevelt Rd",,,Chicago,IL,"Cook County",60608,US,"TIGER/Line® dataset from the US Census Bureau"
"3100 S Halsted St IL 60608",41.837924,-87.646646,1,rooftop,3100,"S Halsted St",,,Chicago,IL,"Cook County",60608,US,"City of Chicago"
"2340 W 52nd St IL 60609",41.799059,-87.682216,1,rooftop,2340,"W 52nd St",,,Chicago,IL,"Cook County",60609,US,"City of Chicago"
"4302 S Ashland Ave IL 60609",41.815681,-87.665543,1,rooftop,4302,"S Ashland Ave",,,Chicago,IL,"Cook County",60609,US,"City of Chicago"
"333 W North Ave IL 60610",41.910933,-87.638228,1,rooftop,333,"W North Ave",,,Chicago,IL,"Cook County",60610,US,"City of Chicago"
"101 W Division St IL 60610",41.90405,-87.631444,1,range_interpolation,101,"W Division St",,,Chicago,IL,"Cook County",60610,US,"TIGER/Line® dataset from the US Census Bureau"
"20 E Chicago Ave IL 60611",41.896955,-87.627345,1,rooftop,20,"E Chicago Ave",,,Chicago,IL,"Cook County",60611,US,"City of Chicago"
"401 E Ontario St IL 60611",41.893281,-87.616679,1,rooftop,401,"E Ontario St",,,Chicago,IL,"Cook County",60611,US,"City of Chicago"
"200 E Ohio St IL 60611",41.892807,-87.622451,1,rooftop,200,"E Ohio St",,,Chicago,IL,"Cook County",60611,US,"City of Chicago"
"1713 W Polk St IL 60612",41.871258,-87.669597,1,rooftop,1713,"W Polk St",,,Chicago,IL,"Cook County",60612,US,"City of Chicago"
"1755 W Addison St IL 60613",41.946742,-87.673359,1,rooftop,1755,"W Addison St",,,Chicago,IL,"Cook County",60613,US,"City of Chicago"
"1441 W Montrose Ave IL 60613",41.961289,-87.666573,1,rooftop,1441,"W Montrose Ave",,,Chicago,IL,"Cook County",60613,US,Cook
"801 W Diversey Pkwy IL 60614",41.932452,-87.649473,1,rooftop,801,"W Diversey Pkwy",,,Chicago,IL,"Cook County",60614,US,"City of Chicago"
